date,region,country,value
1995-12-31,Asia,Japan,1607770760
1995-12-31,Europe,Germany,553536363
1995-12-31,Asia,Singapore,417652353
1995-12-31,Europe,France,312590964
1995-12-31,Asia,China,301694718
1995-12-31,North America,United States,207813382
1995-12-31,Oceania,Australia,191194991
1995-12-31,Asia,South Korea,186547419
1995-12-31,Asia,Hong Kong,168568004
1995-12-31,Europe,United Kingdom,163419149
1995-12-31,Asia,Indonesia,141969540
1995-12-31,Asia,Malaysia,117052501
1995-12-31,Europe,Netherlands,111660362
1995-12-31,Europe,Belgium-Luxembourg,85163331
1995-12-31,Europe,Spain,73198565
1995-12-31,North America,Canada,53949382
1995-12-31,Europe,Poland,50709792
1995-12-31,Africa,Algeria,45017049
1995-12-31,Asia,Thailand,40577848
1995-12-31,Europe,Austria,29963850
1996-12-31,Asia,Japan,1906600076
1996-12-31,Europe,Germany,610438709
1996-12-31,Asia,Singapore,408126600
1996-12-31,Europe,France,374874813
1996-12-31,North America,United States,337448450
1996-12-31,Asia,China,282667328
1996-12-31,Oceania,Australia,276956515
1996-12-31,Europe,United Kingdom,243554521
1996-12-31,Asia,South Korea,223745666
1996-12-31,Asia,Hong Kong,190219516
1996-12-31,Asia,Indonesia,186613773
1996-12-31,Asia,Philippines,181420263
1996-12-31,Europe,Italy,153550749
1996-12-31,Europe,Netherlands,144049077
1996-12-31,Asia,Malaysia,141991783
1996-12-31,Europe,Belgium-Luxembourg,109104474
1996-12-31,Europe,Spain,101555186
1996-12-31,North America,Canada,70380608
1996-12-31,Asia,Thailand,62660953
1996-12-31,Africa,Cote d'Ivoire,40242832
1997-12-31,Asia,Japan,2078716540
1997-12-31,Europe,Germany,790861057
1997-12-31,Asia,Singapore,507284930
1997-12-31,Europe,France,486028614
1997-12-31,North America,United States,407133513
1997-12-31,Oceania,Australia,390013233
1997-12-31,Asia,Taiwan,386990699
1997-12-31,Asia,China,323793675
1997-12-31,Europe,United Kingdom,312081636
1997-12-31,Asia,Philippines,272198496
1997-12-31,Asia,Hong Kong,257392238
1997-12-31,Europe,Belgium-Luxembourg,244514618
1997-12-31,Europe,Italy,233262357
1997-12-31,Asia,South Korea,230881556
1997-12-31,Europe,Netherlands,190467284
1997-12-31,Europe,Spain,184466070
1997-12-31,Asia,Thailand,183329326
1997-12-31,Asia,Malaysia,154753415
1997-12-31,Asia,Indonesia,107083168
1997-12-31,North America,Canada,106018820
1998-12-31,Asia,Japan,1671512602
1998-12-31,Europe,Germany,871845634
1998-12-31,North America,United States,588787090
1998-12-31,Europe,France,559997872
1998-12-31,Oceania,Australia,425446105
1998-12-31,Europe,United Kingdom,390220305
1998-12-31,Asia,Singapore,388704589
1998-12-31,Asia,Philippines,385786931
1998-12-31,Asia,Indonesia,376304045
1998-12-31,Asia,Taiwan,341122478
1998-12-31,Europe,Belgium-Luxembourg,299528814
1998-12-31,Europe,Italy,269692563
1998-12-31,Europe,Netherlands,235402050
1998-12-31,Asia,Thailand,231339211
1998-12-31,Asia,Hong Kong,226206109
1998-12-31,Europe,Spain,225936907
1998-12-31,Asia,China,197687946
1998-12-31,Asia,South Korea,165382465
1998-12-31,Asia,Malaysia,129498192
1998-12-31,North America,Canada,120036047
1999-12-31,Asia,Japan,1871020153
1999-12-31,Europe,Germany,996206814
1999-12-31,Oceania,Australia,755709578
1999-12-31,North America,United States,649001209
1999-12-31,Europe,France,622086209
1999-12-31,Asia,Indonesia,536277899
1999-12-31,Europe,United Kingdom,484790609
1999-12-31,Asia,Singapore,482148405
1999-12-31,Asia,Taiwan,386365746
1999-12-31,Europe,Belgium,384567363
1999-12-31,Asia,China,319130332
1999-12-31,Europe,Italy,267291832
1999-12-31,Europe,Netherlands,262313496
1999-12-31,Europe,Spain,259988209
1999-12-31,Asia,South Korea,252513880
1999-12-31,Asia,Malaysia,229401801
1999-12-31,Asia,Thailand,225255636
1999-12-31,Asia,Philippines,209407933
1999-12-31,Asia,Hong Kong,192889857
1999-12-31,North America,Canada,128249768
2000-12-31,Asia,Japan,3315548379
2000-12-31,Asia,China,1530278620
2000-12-31,Oceania,Australia,1264632302
2000-12-31,Europe,Germany,1190165551
2000-12-31,Asia,Singapore,906511829
2000-12-31,North America,United States,888104504
2000-12-31,Asia,Taiwan,848209512
2000-12-31,Europe,France,776133660
2000-12-31,Europe,United Kingdom,761319495
2000-12-31,Asia,Thailand,582701894
2000-12-31,Asia,Malaysia,524470706
2000-12-31,Asia,Philippines,507486177
2000-12-31,Asia,South Korea,480610563
2000-12-31,Europe,Netherlands,446888157
2000-12-31,Europe,Belgium,395507379
2000-12-31,Asia,Hong Kong,371117399
2000-12-31,Europe,Italy,346748055
2000-12-31,Asia,Iraq,306702000
2000-12-31,Asia,Indonesia,282136710
2000-12-31,Europe,Spain,274795182
2001-12-31,Asia,Japan,3169655441
2001-12-31,Asia,China,1428644889
2001-12-31,North America,United States,1179832021
2001-12-31,Oceania,Australia,1153221359
2001-12-31,Europe,Germany,1131791172
2001-12-31,Asia,Singapore,1019080896
2001-12-31,Asia,Taiwan,873756232
2001-12-31,Europe,France,815591415
2001-12-31,Europe,United Kingdom,795046092
2001-12-31,Asia,Thailand,519068364
2001-12-31,Asia,South Korea,516043008
2001-12-31,Europe,Belgium,457476700
2001-12-31,Europe,Netherlands,426674304
2001-12-31,Asia,Philippines,415028487
2001-12-31,Asia,Iraq,404283211
2001-12-31,Europe,Italy,402788358
2001-12-31,Asia,Hong Kong,372785940
2001-12-31,Asia,Malaysia,351172672
2001-12-31,Europe,Spain,309725139
2001-12-31,Asia,Indonesia,250019189
2002-12-31,Asia,Japan,2915658697
2002-12-31,North America,United States,2780171333
2002-12-31,Asia,China,1443372164
2002-12-31,Oceania,Australia,1285236881
2002-12-31,Europe,Germany,1116971263
2002-12-31,Asia,Singapore,996738183
2002-12-31,Europe,United Kingdom,935408434
2002-12-31,Asia,Taiwan,889021912
2002-12-31,Europe,France,828754463
2002-12-31,Asia,South Korea,599692845
2002-12-31,Europe,Belgium,445794788
2002-12-31,Asia,Iraq,439650430
2002-12-31,Europe,Italy,434781692
2002-12-31,Europe,Netherlands,423383546
2002-12-31,Asia,Hong Kong,382988470
2002-12-31,Asia,Malaysia,366954815
2002-12-31,Asia,Philippines,365781754
2002-12-31,Asia,Indonesia,322695753
2002-12-31,Europe,Spain,316760565
2002-12-31,Asia,Thailand,288612833
2003-12-31,North America,United States,4915916122
2003-12-31,Asia,Japan,3445085172
2003-12-31,Asia,China,1828267394
2003-12-31,Oceania,Australia,1583994176
2003-12-31,Europe,Germany,1419179876
2003-12-31,Europe,United Kingdom,1075381304
2003-12-31,Asia,Singapore,1065654909
2003-12-31,Europe,France,901851625
2003-12-31,Asia,Taiwan,848053360
2003-12-31,Asia,South Korea,628003284
2003-12-31,Europe,Belgium,546037814
2003-12-31,Europe,Italy,541561841
2003-12-31,Europe,Netherlands,514358980
2003-12-31,Asia,Indonesia,485485369
2003-12-31,Asia,Malaysia,472877712
2003-12-31,Asia,Hong Kong,444715163
2003-12-31,Asia,Thailand,386451058
2003-12-31,Europe,Spain,373005271
2003-12-31,Asia,Philippines,364493995
2003-12-31,Asia,Cambodia,278956788
2004-12-31,North America,United States,5983192759
2004-12-31,Asia,Japan,4173200231
2004-12-31,Asia,China,2870810035
