date,region,country,value
1995-12-31,Asia,Singapore,1775158518
1995-12-31,Asia,South Korea,1350987540
1995-12-31,Asia,Japan,917657649
1995-12-31,Asia,China,718013816
1995-12-31,Asia,Hong Kong,632411297
1995-12-31,Asia,Thailand,465648322
1995-12-31,Europe,France,310277018
1995-12-31,Asia,Indonesia,287570791
1995-12-31,Asia,Malaysia,265730967
1995-12-31,North America,United States,243514725
1995-12-31,Europe,Germany,223129000
1995-12-31,Asia,India,123975055
1995-12-31,Oceania,Australia,109794833
1995-12-31,Europe,Italy,103109659
1995-12-31,Europe,United Kingdom,80249184
1995-12-31,Europe,Belgium-Luxembourg,53784036
1995-12-31,Europe,Netherlands,43266804
1995-12-31,Oceania,New Zealand,39323466
1995-12-31,Europe,Denmark,33224103
1995-12-31,Asia,Saudi Arabia,32219883
1996-12-31,Asia,Singapore,1704021683
1996-12-31,Asia,South Korea,1599033559
1996-12-31,Asia,Japan,1115229929
1996-12-31,Asia,China,842128018
1996-12-31,Europe,France,747774401
1996-12-31,North America,United States,609679736
1996-12-31,Asia,Hong Kong,595765530
1996-12-31,Asia,Thailand,576453291
1996-12-31,Asia,Indonesia,364058057
1996-12-31,Europe,Germany,327688319
1996-12-31,Asia,Malaysia,319327613
1996-12-31,Europe,Italy,156516175
1996-12-31,Oceania,Australia,138850653
1996-12-31,Asia,Philippines,129981385
1996-12-31,Europe,Russia,121820087
1996-12-31,Asia,India,117602947
1996-12-31,Europe,Belgium-Luxembourg,83544017
1996-12-31,Europe,United Kingdom,69533099
1996-12-31,Europe,Switzerland,59750392
1996-12-31,Europe,Sweden,56384641
1997-12-31,Asia,Singapore,1659118498
1997-12-31,Asia,South Korea,1603102737
1997-12-31,Asia,Taiwan,1294466134
1997-12-31,Asia,Japan,1199103177
1997-12-31,Asia,China,1079720432
1997-12-31,Asia,Hong Kong,628972489
1997-12-31,Asia,Thailand,546625193
1997-12-31,Europe,France,422965245
1997-12-31,Asia,Indonesia,350474533
1997-12-31,Asia,Malaysia,321235018
1997-12-31,Europe,Germany,275142695
1997-12-31,North America,United States,272171769
1997-12-31,Europe,Russia,182862061
1997-12-31,Europe,United Kingdom,142905475
1997-12-31,Oceania,Australia,131906831
1997-12-31,Asia,India,123393468
1997-12-31,Europe,Italy,118643805
1997-12-31,Asia,Philippines,94913658
1997-12-31,Europe,Switzerland,71121557
1997-12-31,Europe,Sweden,62820565
1998-12-31,Asia,Singapore,1503953068
1998-12-31,Asia,South Korea,1329012612
1998-12-31,Asia,Taiwan,1240037059
1998-12-31,Asia,Japan,1207019746
1998-12-31,Asia,China,1028281945
1998-12-31,Asia,Thailand,586393542
1998-12-31,Asia,Hong Kong,506199110
1998-12-31,Asia,Malaysia,372786216
1998-12-31,Europe,Germany,316303000
1998-12-31,Europe,France,301786663
1998-12-31,Asia,Indonesia,290306354
1998-12-31,North America,United States,268558669
1998-12-31,Oceania,Australia,183974376
1998-12-31,Europe,Russia,137658019
1998-12-31,Asia,India,119710835
1998-12-31,Europe,Italy,109946234
1998-12-31,Europe,United Kingdom,109552426
1998-12-31,Asia,Philippines,93859584
1998-12-31,Europe,Switzerland,57633040
1998-12-31,Europe,Sweden,56740733
1999-12-31,Asia,Singapore,1487929744
1999-12-31,Asia,Japan,1483700026
1999-12-31,Asia,South Korea,1445149454
1999-12-31,Asia,Taiwan,1325516761
1999-12-31,Asia,China,963832843
1999-12-31,Asia,Thailand,569493499
1999-12-31,Asia,Hong Kong,449817166
1999-12-31,Asia,Malaysia,382475414
1999-12-31,Asia,Indonesia,324415748
1999-12-31,Europe,France,320197477
1999-12-31,North America,United States,283082684
1999-12-31,Europe,Germany,245351061
1999-12-31,Europe,Russia,161738522
1999-12-31,Oceania,Australia,158988279
1999-12-31,Asia,India,155094990
1999-12-31,Europe,United Kingdom,125966045
1999-12-31,Europe,Italy,112221995
1999-12-31,Asia,Philippines,62560665
1999-12-31,Europe,Belgium,58429212
1999-12-31,Oceania,New Zealand,52782093
2000-12-31,Asia,Singapore,2746961987
2000-12-31,Asia,Japan,2247849043
2000-12-31,Asia,South Korea,1877608385
2000-12-31,Asia,Taiwan,1870939448
2000-12-31,Asia,China,1704621882
2000-12-31,Asia,Thailand,899764490
2000-12-31,Asia,Hong Kong,724502930
2000-12-31,Asia,Malaysia,541945662
